Date,rain_mm,Tair_C,vwc_12cm,vwc_47cm,vwc_96cm,vwc_152cm,soilMoisture_m_top1m,soilMoisture_m_top1.5m,soilMoisture_m_top2m
2017-03-16,0,13.6291875,0.066,0.064,0.064,0.064,0.065,0.097,0.129
2017-03-17,0,12.706506944444444,0.073,0.064,0.064,0.064,0.067,0.099,0.131
2017-03-18,0,12.535645833333334,0.074,0.064,0.064,0.064,0.067,0.099,0.131
2017-03-19,0,18.763076388888887,0.081,0.064,0.064,0.064,0.069,0.101,0.133
2017-03-20,0,14.593902777777778,0.084,0.064,0.064,0.064,0.07,0.102,0.134
2017-03-21,0,9.910013888888889,0.082,0.064,0.064,0.064,0.069,0.101,0.133
2017-03-22,0,8.478368055555556,0.079,0.064,0.064,0.064,0.068,0.101,0.132
2017-03-23,12.446,17.152375,0.079,0.064,0.065,0.064,0.069,0.101,0.133
2017-03-24,0.254,8.913361111111112,0.082,0.064,0.065,0.064,0.069,0.102,0.134
2017-03-25,0,8.635354166666668,0.072,0.064,0.065,0.064,0.067,0.099,0.131
2017-03-26,0.508,4.149465277777778,0.072,0.064,0.065,0.064,0.067,0.099,0.131
2017-03-27,0,9.168256944444444,0.069,0.064,0.065,0.064,0.066,0.098,0.13
2017-03-28,35.814,7.288409722222222,0.074,0.064,0.065,0.064,0.067,0.1,0.132
2017-03-29,18.034,5.301972222222222,0.231,0.064,0.066,0.064,0.115,0.147,0.179
2017-03-30,0,7.270548611111111,0.341,0.064,0.066,0.064,0.148,0.18,0.212
2017-03-31,0,4.567125,0.34,0.064,0.066,0.064,0.147,0.18,0.212
2017-04-01,12.954,4.902861111111111,0.341,0.064,0.066,0.064,0.148,0.18,0.212
2017-04-02,0,7.471541666666667,0.344,0.064,0.066,0.064,0.149,0.181,0.213
2017-04-03,0,10.545590277777778,0.341,0.064,0.065,0.064,0.147,0.18,0.212
2017-04-04,11.43,5.196659722222222,0.339,0.064,0.065,0.064,0.147,0.179,0.211
2017-04-05,0,7.199138888888889,0.345,0.064,0.065,0.064,0.149,0.181,0.213
2017-04-06,0,7.901152777777778,0.342,0.064,0.065,0.064,0.148,0.18,0.212
2017-04-07,0,13.246409722222221,0.34,0.064,0.065,0.064,0.147,0.179,0.211
2017-04-08,0,17.78388888888889,0.338,0.064,0.065,0.064,0.147,0.179,0.211
2017-04-09,0,15.321180555555555,0.334,0.064,0.065,0.064,0.146,0.178,0.21
2017-04-10,0,9.77592361111111,0.33,0.064,0.065,0.064,0.144,0.177,0.209
2017-04-11,0,10.519298611111111,0.327,0.064,0.066,0.064,0.144,0.176,0.208
2017-04-12,79.252,16.056805555555556,0.328,0.083,0.066,0.064,0.152,0.185,0.217
2017-04-13,0,14.854444444444445,0.349,0.347,0.245,0.065,0.319,0.394,0.427
2017-04-14,0,20.621319444444445,0.35,0.348,0.349,0.307,0.349,0.512,0.665
2017-04-15,0,19.18875,0.35,0.349,0.35,0.34,0.35,0.522,0.693
2017-04-16,0,12.905972222222223,0.351,0.35,0.351,0.344,0.35,0.524,0.696
2017-04-17,0,14.744930555555555,0.351,0.35,0.351,0.346,0.35,0.525,0.697
2017-04-18,0,19.67875,0.351,0.35,0.351,0.347,0.35,0.525,0.698
2017-04-19,0,20.671736111111112,0.35,0.35,0.351,0.347,0.35,0.525,0.699
2017-04-20,0,14.815208333333333,0.35,0.35,0.352,0.347,0.351,0.525,0.699
2017-04-21,5.588,8.682152777777778,0.351,0.35,0.352,0.348,0.351,0.526,0.7
