"Timestamp","Station","tAirMax_C","tAirMin_C","relHum_prc","precip_mm","windAvg_m.s","windMax_m.s","tSoilMax_5cm","tSoilMin_5cm","tSoilMax_10cm","tSoilMin_10cm","solarRad_MJ.m2","EToGrass_mm","EToAlfalfa_mm"
"2021-01-01","Lane",5.9,-7.5,67.7,0,3.3,8.7,0.9,-1.0,1.2,0.2,9.1,1.39,2.23
"2021-01-02","Lane",10.2,-8.4,71.6,0,2.4,6.9,2.0,-0.9,1.8,0.3,11.1,1.47,2.37
"2021-01-03","Lane",13.2,-6.3,52.9,0,2.9,9.0,2.3,-0.9,2.0,0.4,11.3,2.21,3.67
"2021-01-04","Lane",12.7,-3.2,50.3,0,3.2,9.4,3.3,0.3,2.8,1.2,11.4,2.21,3.64
"2021-01-05","Lane",15.8,-5.9,58.4,0,5.0,12.0,3.2,0.1,2.9,1.1,8.0,3.30,5.42
"2021-01-06","Lane",8.8,-7.4,60.8,0,6.0,14.3,3.3,0.8,3.2,2.1,11.4,2.55,4.18
"2021-01-07","Lane",4.2,-8.4,81.9,0,2.1,5.7,2.3,-0.4,2.3,1.0,6.4,0.74,1.07
"2021-01-08","Lane",8.4,-6.0,77.9,0,2.0,7.2,3.8,1.4,3.4,2.0,9.3,1.17,1.81
"2021-01-09","Lane",0.9,-3.5,94.9,0,1.2,3.4,2.3,1.2,2.5,2.0,2.0,0.40,0.47
"2021-01-10","Lane",3.2,-9.5,81.2,0,1.6,4.7,2.8,0.6,2.8,1.9,3.4,0.69,0.98
"2021-01-11","Lane",9.8,-11.8,71.1,0,2.9,7.7,2.4,-1.3,2.2,0.4,12.2,1.75,2.82
"2021-01-12","Lane",14.9,-11.1,46.7,0,2.6,5.4,2.7,-1.7,2.3,0,12.3,2.63,4.38
"2021-01-13","Lane",19.3,-4.4,36.2,0,3.4,9.3,4.1,-0.5,3.3,0.7,10.1,3.51,5.84
"2021-01-14","Lane",10.5,-0.5,34.7,0,9.7,18.3,3.4,1.7,3.4,2.6,11.9,3.94,6.45
"2021-01-15","Lane",5.3,-7.8,30.1,0,9.4,19.8,2.1,0.5,2.7,1.6,11.4,2.88,4.67
"2021-01-16","Lane",13.4,-8.8,40.7,0,4.6,14.4,3.3,-0.5,2.9,0.8,7.7,3.10,5.07
"2021-01-17","Lane",9.1,-5.9,45.7,0,3.7,10.0,3.2,0,3.0,1.3,12.5,2.25,3.65
"2021-01-18","Lane",10.2,-6.0,51.3,0,4.0,12.9,3.7,0.6,3.3,1.6,11.1,2.22,3.58
"2021-01-19","Lane",8.0,-7.8,57.7,0,3.3,9.1,3.2,0.2,2.9,1.3,11.8,1.85,2.96
"2021-01-20","Lane",16.2,-9.0,50.5,0,3.6,10.6,3.9,-0.3,3.3,0.9,11.6,3.21,5.27
"2021-01-21","Lane",15.8,-8.6,40.9,0,2.4,7.3,4.1,-0.6,3.4,0.9,12.7,2.64,4.35
"2021-01-22","Lane",5.5,-12.4,61.0,0,2.9,8.1,2.6,-1.1,2.6,0.6,12.5,1.40,2.18
"2021-01-23","Lane",10.9,-7.6,78.1,0,5.1,10.9,3.2,-0.2,2.8,0.9,6.2,1.64,2.57
"2021-01-24","Lane",-1.7,-6.7,91.6,0,3.1,10.4,1.9,0.4,2.4,1.4,3.2,0.42,0.55
"2021-01-25","Lane",-3.6,-9.2,93.2,0,3.9,8.5,0.9,0.4,1.6,1.2,5.8,0.39,0.50
"2021-01-26","Lane",-6.5,-13.5,88.0,0,3.1,7.5,0.5,-0.6,1.3,0.5,7.7,0.41,0.54
"2021-01-27","Lane",-3.6,-20.5,80.9,11.43,2.2,7.2,0.2,-0.7,0.7,0.3,14.1,0.67,0.96
"2021-01-28","Lane",3.5,-11.0,85.4,1.02,3.9,8.3,0.3,-1.1,0.7,0,11.1,0.85,1.22
"2021-01-29","Lane",4.5,-7.3,80.8,0,2.3,6.5,0.3,-0.2,0.9,0.6,7.9,0.93,1.33
