"Timestamp","Station","tAirMax_C","tAirMin_C","relHum_prc","precip_mm","windAvg_m.s","windMax_m.s","tSoilMax_5cm","tSoilMin_5cm","tSoilMax_10cm","tSoilMin_10cm","solarRad_MJ.m2","EToGrass_mm","EToAlfalfa_mm"
"2019-01-01","Lane",-7.4,-15.3,60.5,0,4.2,11.6,0.2,-0.2,0.8,0.5,5.4,0.71,1.11
"2019-01-02","Lane",4.2,-16.2,74.1,1.27,3.1,6.1,-0.3,-0.9,0.5,0.2,12.8,1.08,1.72
"2019-01-03","Lane",8.9,-13.7,74.3,1.52,2.1,5.7,-0.2,-1.5,0.2,0,12.0,1.22,1.94
"2019-01-04","Lane",10.6,-8.1,75.9,0,2.6,5.5,-0.2,-0.9,0.1,0,11.8,1.15,1.78
"2019-01-05","Lane",12.4,-6.0,78.9,0,1.5,3.7,-0.1,-0.2,0.1,0.1,11.8,0.97,1.43
"2019-01-06","Lane",10.2,-2.0,86.0,0,1.9,6.8,0,-0.1,0.2,0.1,7.9,0.87,1.24
"2019-01-07","Lane",14.8,-4.0,73.4,0,2.6,6.7,0,-0.1,0.3,0.2,10.9,2.07,3.38
"2019-01-08","Lane",10.6,-5.2,58.0,0,2.6,6.9,0,0,0.3,0.2,12.1,1.74,2.83
"2019-01-09","Lane",11.2,-6.6,76.0,0,2.5,6.6,0,0,0.3,0.3,9.9,1.41,2.22
"2019-01-10","Lane",11.4,-5.1,72.8,0,1.5,6.9,0,0,0.5,0.3,11.6,1.09,1.64
"2019-01-11","Lane",1.0,-2.1,93.3,0.51,3.8,10.5,0.1,0,0.4,0.3,1.7,0.45,0.59
"2019-01-12","Lane",6.5,-7.8,92.4,6.35,5.5,12.2,0.1,0,0.5,0.4,9.9,0.77,1.13
"2019-01-13","Lane",-2.0,-4.3,95.2,0,2.4,6.2,0.2,0.1,0.5,0.5,6.6,0.37,0.43
"2019-01-14","Lane",1.5,-6.2,98.0,0,3.1,6.7,0.3,0.1,0.6,0.5,8.7,0.39,0.46
"2019-01-15","Lane",6.8,-9.6,79.6,0.25,2.1,4.4,0.2,0.2,0.6,0.5,13.0,1.15,1.77
"2019-01-16","Lane",-2.6,-7.6,94.7,0,2.2,6.5,0.2,0.2,0.5,0.5,5.8,0.39,0.48
"2019-01-17","Lane",6.6,-7.0,89.2,0.25,3.0,9.3,0.4,0.1,0.7,0.5,11.7,0.86,1.22
"2019-01-18","Lane",3.2,-5.5,92.7,0,5.7,12.6,0.7,0.2,0.8,0.6,4.1,0.60,0.86
"2019-01-19","Lane",-1.0,-10.5,77.9,0,3.7,9.8,0.3,0.2,0.6,0.5,13.3,0.80,1.18
"2019-01-20","Lane",9.5,-5.6,82.2,0,3.2,7.6,0.5,0.2,0.7,0.5,11.7,1.36,2.07
"2019-01-21","Lane",1.6,-4.1,95.1,0,4.0,9.7,0.2,0.2,0.6,0.5,6.1,0.46,0.60
"2019-01-22","Lane",-2.0,-11.6,86.7,0,6.4,14.1,0.2,0.2,0.6,0.5,3.6,0.67,1.01
"2019-01-23","Lane",3.7,-12.7,72.3,0.76,3.0,7.2,0.2,0.1,0.5,0.5,13.8,1.15,1.74
"2019-01-24","Lane",1.6,-12.3,85.4,0.76,2.9,9.5,0.1,0.1,0.5,0.5,7.3,0.69,0.98
"2019-01-25","Lane",5.1,-9.3,77.2,0,3.9,10.6,0.1,0,0.5,0.4,13.9,1.41,2.17
"2019-01-26","Lane",7.4,-5.8,69.8,0,3.1,8.0,0.1,0,0.4,0.4,10.4,1.49,2.29
"2019-01-27","Lane",11.1,-2.5,72.4,0,3.5,8.6,0.1,0,0.5,0.4,12.5,1.73,2.64
"2019-01-28","Lane",5.7,-6.7,63.7,0,5.3,12.8,0.7,0.1,0.8,0.4,11.3,2.00,3.17
