TIMESTAMP,STATION,TEMP2MAVG,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,VWC5CM,VWC10CM,PRESSUREAVG,TEMP2MMIN,TEMP2MMAX
2015-01-01T00:00:00Z,Lane,-12.53,74.3,0.06,0,0,0,3.03,NA,NA,NA,NA,NA
2015-01-01T01:00:00Z,Lane,-11.95,72.12,0.07,0,0.01,0,2.16,NA,NA,NA,NA,NA
2015-01-01T02:00:00Z,Lane,-11.28,66.07,0.09,0,0,0,2.95,NA,NA,NA,NA,NA
2015-01-01T03:00:00Z,Lane,-11.44,64.59,0.09,0,0,0,2.53,NA,NA,NA,NA,NA
2015-01-01T04:00:00Z,Lane,-11.68,66.44,0.08,0,0,0,2.09,NA,NA,NA,NA,NA
2015-01-01T05:00:00Z,Lane,-12.26,70.34,0.07,0,0,0,2.35,NA,NA,NA,NA,NA
2015-01-01T06:00:00Z,Lane,-12.46,69.3,0.07,0,0,0,2.57,NA,NA,NA,NA,NA
2015-01-01T07:00:00Z,Lane,-12.05,68.51,0.08,0,0,0,2.72,NA,NA,NA,NA,NA
2015-01-01T08:00:00Z,Lane,-12.38,70.2,0.07,0,0.59,0,3.26,NA,NA,NA,NA,NA
2015-01-01T09:00:00Z,Lane,-11.26,66.96,0.09,0,45.16,0.16,2.94,NA,NA,NA,NA,NA
2015-01-01T10:00:00Z,Lane,-10.02,63.36,0.1,0,136.29,0.49,2.87,NA,NA,NA,NA,NA
2015-01-01T11:00:00Z,Lane,-8.64,61.8,0.12,0,245.65,0.88,2.35,NA,NA,NA,NA,NA
2015-01-01T12:00:00Z,Lane,-6.59,58.86,0.15,0,199.38,0.72,2.44,NA,NA,NA,NA,NA
2015-01-01T13:00:00Z,Lane,-5.68,58.41,0.17,0,215.58,0.78,2.53,NA,NA,NA,NA,NA
2015-01-01T14:00:00Z,Lane,-4.66,58.45,0.18,0,341.64,1.23,3.65,NA,NA,NA,NA,NA
2015-01-01T15:00:00Z,Lane,-4.03,55.39,0.2,0,328.14,1.18,2.59,NA,NA,NA,NA,NA
2015-01-01T16:00:00Z,Lane,-4,55.32,0.2,0,183,0.66,2.16,NA,NA,NA,NA,NA
