TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,VWC20CM
2016-01-01T01:00:00Z,Lane,92.95,-10.46,-10.97,-9.74,82.25,0.05,0,0,0,2.09,NA
2016-01-01T02:00:00Z,Lane,92.93,-10.11,-10.35,-9.94,79.28,0.06,0,0,0,2.98,NA
2016-01-01T03:00:00Z,Lane,92.94,-9.21,-10.15,-8.75,75.13,0.08,0,0,0,3.42,NA
2016-01-01T04:00:00Z,Lane,92.95,-9.27,-9.6,-9.02,75.22,0.08,0,0,0,3.33,NA
2016-01-01T05:00:00Z,Lane,92.9,-9.75,-10.05,-9.57,76.29,0.07,0,0,0,3.63,NA
2016-01-01T06:00:00Z,Lane,92.88,-10.16,-11,-9.71,76.89,0.07,0,0,0,3.51,NA
2016-01-01T07:00:00Z,Lane,92.9,-11.58,-12.23,-10.93,81.34,0.05,0,0,0,2.4,NA
2016-01-01T08:00:00Z,Lane,92.89,-12.27,-12.5,-12.02,81.73,0.04,0,0.94,0,2.11,NA
2016-01-01T09:00:00Z,Lane,92.89,-10.88,-12.6,-8.48,78.23,0.06,0,73.54,0.26,2.78,NA
2016-01-01T10:00:00Z,Lane,92.91,-6.67,-8.82,-4.29,69.26,0.12,0,223.46,0.8,3.62,NA
2016-01-01T11:00:00Z,Lane,92.91,-2.71,-5.14,0.13,56.19,0.22,0,364.11,1.31,3.9,NA
2016-01-01T12:00:00Z,Lane,92.87,0.89,-0.69,2.65,44.1,0.37,0,461.46,1.66,5.86,NA
2016-01-01T13:00:00Z,Lane,92.75,2.9,1.32,4.72,38.08,0.47,0,505.2,1.82,6.65,NA
2016-01-01T14:00:00Z,Lane,92.63,4.31,2.61,5.63,34.86,0.54,0,486.73,1.75,6.33,NA
2016-01-01T15:00:00Z,Lane,92.54,5.25,3.93,6.14,30.79,0.61,0,415.78,1.5,6.13,NA
2016-01-01T16:00:00Z,Lane,92.48,5.46,4.71,6.21,30.85,0.62,0,295.73,1.06,5.91,NA
2016-01-01T17:00:00Z,Lane,92.48,4.82,3.86,5.73,35.43,0.56,0,147.19,0.53,4.6,NA
2016-01-01T18:00:00Z,Lane,92.49,0.59,-1.99,4,48.19,0.34,0,21.17,0.08,2.27,NA
2016-01-01T19:00:00Z,Lane,92.48,-2.8,-3.59,-1.99,59.46,0.2,0,0,0,2.3,NA
2016-01-01T20:00:00Z,Lane,92.49,-4.1,-4.71,-3.52,65.51,0.16,0,0,0,2.3,NA
2016-01-01T21:00:00Z,Lane,92.5,-4.48,-5.25,-4.05,67.2,0.14,0,0,0,2.66,NA
2016-01-01T22:00:00Z,Lane,92.5,-6.73,-8.11,-5.25,74.66,0.09,0,0,0,2.1,NA
2016-01-01T23:00:00Z,Lane,92.48,-8.39,-9.1,-7.7,79.46,0.07,0,0,0,2.37,NA
2016-01-02T00:00:00Z,Lane,92.47,-8.43,-9.06,-7.76,79.09,0.07,0,0,0,2.88,NA
2016-01-02T01:00:00Z,Lane,92.45,-8.96,-9.88,-8.34,79.45,0.06,0,0,0,2.45,NA
2016-01-02T02:00:00Z,Lane,92.4,-10.14,-10.83,-9.57,78.5,0.06,0,0,0,2.53,NA
2016-01-02T03:00:00Z,Lane,92.36,-10.78,-11.17,-10.32,75.73,0.07,0,0,0,2.77,NA
2016-01-02T04:00:00Z,Lane,92.35,-10.33,-10.9,-9.91,70.64,0.08,0,0,0,3.03,NA
2016-01-02T05:00:00Z,Lane,92.31,-10.95,-11.3,-10.52,71.85,0.07,0,0,0,2.74,NA
2016-01-02T06:00:00Z,Lane,92.28,-10.9,-11.07,-10.69,71.21,0.08,0,0,0,2.91,NA
2016-01-02T07:00:00Z,Lane,92.29,-11.32,-11.71,-10.93,72.04,0.07,0,0,0,3.01,NA
2016-01-02T08:00:00Z,Lane,92.32,-11.61,-11.95,-11.41,72.73,0.07,0,0.94,0,2.66,NA
2016-01-02T09:00:00Z,Lane,92.32,-9.86,-11.75,-6.84,67.37,0.1,0,78.56,0.28,3.32,NA
2016-01-02T10:00:00Z,Lane,92.35,-4.42,-7.29,-1.06,54.62,0.2,0,230.04,0.83,3.62,NA
2016-01-02T11:00:00Z,Lane,92.35,0.92,-1.57,3.47,38.08,0.41,0,369.79,1.33,4.16,NA
2016-01-02T12:00:00Z,Lane,92.31,4.36,2.27,5.84,25.43,0.62,0,467,1.68,4.41,NA
2016-01-02T13:00:00Z,Lane,92.18,5.99,4.24,7.37,21.59,0.73,0,508.28,1.83,4.46,NA
2016-01-02T14:00:00Z,Lane,92.09,7.55,5.7,8.8,19.78,0.83,0,491.12,1.77,5.23,NA
2016-01-02T15:00:00Z,Lane,92.02,9.01,7.1,10.09,19.24,0.93,0,418.04,1.5,6.01,NA
2016-01-02T16:00:00Z,Lane,91.99,9.34,8.55,10.06,20.94,0.93,0,296.88,1.07,5.8,NA
2016-01-02T17:00:00Z,Lane,91.99,8.56,7.3,9.58,24.01,0.85,0,149.95,0.54,4.61,NA
2016-01-02T18:00:00Z,Lane,92.03,4.07,1.31,7.5,33.08,0.56,0,22.67,0.08,2.65,NA
2016-01-02T19:00:00Z,Lane,92.06,-0.41,-2.7,1.99,44.09,0.33,0,0,0,2.23,NA
2016-01-02T20:00:00Z,Lane,92.09,-3.86,-4.23,-2.77,55.83,0.2,0,0,0,2.47,NA
2016-01-02T21:00:00Z,Lane,92.14,-3.22,-4.16,-2.56,56.06,0.21,0,0,0,3.16,NA
2016-01-02T22:00:00Z,Lane,92.15,-2.92,-3.65,-2.46,56.55,0.21,0,0,0,3.51,NA
2016-01-02T23:00:00Z,Lane,92.18,-3.95,-4.6,-3.55,64.21,0.16,0,0,0,3.39,NA
2016-01-03T00:00:00Z,Lane,92.2,-3.18,-3.89,-2.56,64.84,0.17,0,0,0,3.83,NA
2016-01-03T01:00:00Z,Lane,92.22,-4.3,-4.98,-3.1,67.87,0.14,0,0,0,3.03,NA
2016-01-03T02:00:00Z,Lane,92.2,-4.79,-5.08,-4.37,68.41,0.14,0,0,0,2.98,NA
2016-01-03T03:00:00Z,Lane,92.23,-6.22,-7.19,-4.5,74.31,0.1,0,0,0,2.12,NA
2016-01-03T04:00:00Z,Lane,92.26,-7.55,-8.14,-6.61,78.83,0.07,0,0,0,2.5,NA
2016-01-03T05:00:00Z,Lane,92.27,-7.82,-8.11,-7.39,78.38,0.07,0,0,0,2.36,NA
2016-01-03T06:00:00Z,Lane,92.3,-7.52,-7.97,-6.81,78.54,0.07,0,0,0,3.1,NA
