TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP2MMIN,TEMP2MMAX,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,VWC20CM,TEMP10MAVG,SOILTMP20AVG655,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC50CM
2017-01-01T00:00:00Z,Lane,91,-4.15,-5.05,-2.91,71.08,0.13,0,0,0,1.5,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T01:00:00Z,Lane,90.95,-2.15,-2.94,-1.51,67.11,0.17,0,0,0,1.77,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T02:00:00Z,Lane,90.9,-0.78,-1.54,-0.32,62.66,0.22,0,0,0,2.25,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T03:00:00Z,Lane,90.9,-0.55,-0.76,-0.25,59.92,0.24,0,0,0,2.88,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T04:00:00Z,Lane,90.88,-0.91,-1.27,-0.59,60.93,0.22,0,0,0,3.24,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T05:00:00Z,Lane,90.83,-1.32,-1.71,-0.93,61.3,0.21,0,0,0,4.55,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T06:00:00Z,Lane,90.79,-2.83,-3.66,-1.68,66.94,0.16,0,0,0,3.84,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T07:00:00Z,Lane,90.77,-4.26,-4.85,-3.18,72.34,0.12,0,0,0,3.42,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T08:00:00Z,Lane,90.73,-3.03,-3.55,-2.67,68.16,0.16,0,0.29,0,4.59,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T09:00:00Z,Lane,90.71,-1.98,-2.67,-1.31,63.59,0.19,0,31.33,0.11,5.19,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T10:00:00Z,Lane,90.7,-0.57,-1.34,0.43,57.45,0.25,0,151.99,0.55,5.29,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T11:00:00Z,Lane,90.67,1.53,0.06,3.72,52.61,0.32,0,260.27,0.94,6.63,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T12:00:00Z,Lane,90.59,4.12,2.77,5.77,50.57,0.41,0,370.53,1.33,8.03,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T13:00:00Z,Lane,90.44,6.17,4.51,7.61,46.81,0.5,0,481.88,1.73,7.64,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T14:00:00Z,Lane,90.31,7.55,6.34,8.65,44.69,0.58,0,469.07,1.69,6.84,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T15:00:00Z,Lane,90.22,8.19,6.92,9.03,43.97,0.61,0,402.91,1.45,6.74,0.36,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01T16:00:00Z,Lane,90.22,8.56,7.56,9.17,43.12,0.63,0,273.53,0.98,6.93,0.36,NA,NA,NA,NA,NA,NA,NA,NA
