TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP10MAVG,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC20CM,VWC50CM
2018-01-01T00:00:00Z,Lane,93.62,-18.6,-18.62,65.95,0.05,0,0,0,1.73,-5.42,-4.11,-1.33,1.94,0.0701,0.128,0.2725,0.3501
2018-01-01T01:00:00Z,Lane,93.65,-18.23,-18.23,65.28,0.05,0,0.02,0,1.55,-5.55,-4.31,-1.41,1.93,0.0699,0.127,0.2713,0.3501
2018-01-01T02:00:00Z,Lane,93.64,-18.06,-18.11,64.06,0.05,0,0.02,0,1.68,-5.59,-4.42,-1.49,1.92,0.0699,0.1265,0.27,0.3501
2018-01-01T03:00:00Z,Lane,93.65,-17.97,-18.01,64.46,0.05,0,0,0,1.54,-5.59,-4.49,-1.56,1.91,0.0699,0.1261,0.2686,0.3502
2018-01-01T04:00:00Z,Lane,93.64,-17.98,-18.03,64.8,0.05,0,0,0,1.8,-5.59,-4.53,-1.63,1.91,0.0699,0.1258,0.2675,0.3501
2018-01-01T05:00:00Z,Lane,93.6,-18.11,-18.19,65.3,0.05,0,0.01,0,1.87,-5.6,-4.57,-1.68,1.89,0.0699,0.1255,0.2665,0.3502
2018-01-01T06:00:00Z,Lane,93.59,-18.18,-18.24,65.53,0.05,0,0,0,2,-5.63,-4.6,-1.74,1.88,0.0699,0.1255,0.2655,0.3502
2018-01-01T07:00:00Z,Lane,93.58,-18.25,-18.34,65.49,0.05,0,0.04,0,2.19,-5.68,-4.64,-1.79,1.87,0.0699,0.125,0.2647,0.3502
2018-01-01T08:00:00Z,Lane,93.58,-18.27,-18.37,65.39,0.05,0,1.01,0,2.15,-5.73,-4.69,-1.84,1.85,0.0693,0.1248,0.2639,0.3502
2018-01-01T09:00:00Z,Lane,93.61,-18.36,-18.47,66.54,0.05,0,19.22,0.07,1.8,-5.77,-4.75,-1.89,1.85,0.0692,0.1249,0.2631,0.3502
2018-01-01T10:00:00Z,Lane,93.61,-18.34,-18.62,66.43,0.05,0,91.15,0.33,2.55,-5.76,-4.78,-1.93,1.84,0.0692,0.1242,0.2623,0.3499
2018-01-01T11:00:00Z,Lane,93.59,-16.75,-17.14,59.08,0.07,0,211.06,0.76,2.77,-5.65,-4.77,-1.98,1.83,0.0698,0.1244,0.2618,0.3495
2018-01-01T12:00:00Z,Lane,93.52,-13.44,-14.05,50.52,0.11,0,424.72,1.53,2.86,-5.3,-4.65,-2.01,1.82,0.0707,0.1249,0.2612,0.3496
2018-01-01T13:00:00Z,Lane,93.36,-11.3,-12.12,50.61,0.13,0,488.56,1.76,4.61,-4.61,-4.33,-2.03,1.81,0.0727,0.1258,0.2612,0.3496
2018-01-01T14:00:00Z,Lane,93.23,-10.58,-11.42,51.42,0.13,0,459.1,1.65,4.81,-3.85,-3.88,-2.02,1.8,0.075,0.1272,0.2612,0.3496
2018-01-01T15:00:00Z,Lane,93.11,-9.77,-10.55,48.72,0.15,0,401.62,1.45,4.55,-3.26,-3.44,-1.96,1.79,0.0771,0.1289,0.2614,0.3496
2018-01-01T16:00:00Z,Lane,93.05,-9.3,-9.89,47.06,0.16,0,270.63,0.97,4.79,-2.84,-3.08,-1.88,1.78,0.0785,0.1304,0.262,0.3496
2018-01-01T17:00:00Z,Lane,93.05,-9.54,-9.89,44.98,0.16,0,144.99,0.52,4.65,-2.68,-2.83,-1.79,1.77,0.0791,0.1314,0.2628,0.3496
2018-01-01T18:00:00Z,Lane,93.01,-10.38,-10.38,46.12,0.15,0,16.05,0.06,4.08,-2.76,-2.7,-1.71,1.75,0.0785,0.1317,0.2636,0.3496
2018-01-01T19:00:00Z,Lane,93,-11.08,-10.97,47.88,0.14,0,0.02,0,3.93,-3.02,-2.72,-1.64,1.74,0.0775,0.1316,0.2643,0.3496
2018-01-01T20:00:00Z,Lane,93.04,-11.78,-11.74,48.79,0.13,0,0.02,0,3.55,-3.32,-2.84,-1.59,1.73,0.0764,0.1314,0.2646,0.3497
2018-01-01T21:00:00Z,Lane,93.04,-12.76,-12.73,50.41,0.11,0,0,0,3.45,-3.59,-2.98,-1.57,1.72,0.0755,0.131,0.2651,0.3497
2018-01-01T22:00:00Z,Lane,93.04,-12.98,-12.98,49.89,0.11,0,0,0,3.67,-3.82,-3.13,-1.57,1.71,0.0747,0.1304,0.2651,0.3497
2018-01-01T23:00:00Z,Lane,93.05,-12.89,-12.91,47.29,0.12,0,0.02,0,3.71,-4.01,-3.28,-1.59,1.7,0.0742,0.1298,0.2645,0.3497
2018-01-02T00:00:00Z,Lane,93.05,-13.05,-13.08,46.1,0.12,0,0,0,3.75,-4.16,-3.4,-1.62,1.69,0.0736,0.1292,0.2644,0.3494
2018-01-02T01:00:00Z,Lane,93.05,-13.4,-13.38,46.98,0.12,0,0.02,0,3.09,-4.28,-3.52,-1.65,1.68,0.0734,0.1288,0.2641,0.349
2018-01-02T02:00:00Z,Lane,93.02,-14.34,-14.07,50.51,0.1,0,0,0,2.21,-4.42,-3.62,-1.7,1.67,0.0729,0.1285,0.2638,0.349
2018-01-02T03:00:00Z,Lane,93.04,-15.09,-14.74,53.2,0.09,0,0,0,2.31,-4.65,-3.77,-1.73,1.65,0.0721,0.1278,0.2633,0.3491
2018-01-02T04:00:00Z,Lane,93.08,-16.05,-15.62,56.81,0.08,0,0.01,0,1.11,-4.92,-3.95,-1.79,1.65,0.0714,0.1271,0.2629,0.3491
2018-01-02T05:00:00Z,Lane,93.03,-15.65,-15.57,56.45,0.08,0,0,0,1.79,-5.19,-4.15,-1.84,1.64,0.0706,0.1264,0.2624,0.3491
2018-01-02T06:00:00Z,Lane,92.99,-15.48,-15.38,56.88,0.08,0,0,0,1.79,-5.33,-4.32,-1.91,1.63,0.0704,0.1257,0.2618,0.3491
2018-01-02T07:00:00Z,Lane,93.04,-15.45,-15.14,58.38,0.08,0,0.02,0,0.7,-5.45,-4.44,-1.97,1.61,0.0699,0.1252,0.2611,0.3491
2018-01-02T08:00:00Z,Lane,93.07,-16.51,-15.1,61.43,0.07,0,1.2,0,1.26,-5.57,-4.56,-2.04,1.61,0.0698,0.1248,0.2604,0.3491
2018-01-02T09:00:00Z,Lane,93.07,-16.72,-15.52,64.08,0.06,0,57.78,0.21,1.67,-5.79,-4.7,-2.1,1.6,0.0691,0.1242,0.2597,0.3491
2018-01-02T10:00:00Z,Lane,93.03,-13.18,-13.52,51.4,0.11,0,205.93,0.74,4.11,-5.92,-4.86,-2.17,1.59,0.0687,0.1237,0.2591,0.3491
2018-01-02T11:00:00Z,Lane,93,-11.04,-11.66,45.52,0.14,0,339.16,1.22,4.3,-5.67,-4.88,-2.23,1.58,0.0695,0.1236,0.2584,0.3492
2018-01-02T12:00:00Z,Lane,92.92,-9.21,-9.83,42.57,0.18,0,435.91,1.57,3.49,-5.08,-4.65,-2.28,1.57,0.071,0.1244,0.2579,0.3492
2018-01-02T13:00:00Z,Lane,92.74,-7.17,-7.83,38.89,0.22,0,483.05,1.74,3.2,-4.28,-4.25,-2.3,1.56,0.0734,0.1256,0.2573,0.3492
2018-01-02T14:00:00Z,Lane,92.63,-5.3,-5.96,35.2,0.27,0,470.89,1.7,3.74,-3.43,-3.72,-2.26,1.55,0.0763,0.1274,0.2579,0.3492
2018-01-02T15:00:00Z,Lane,92.53,-3.69,-4.32,32.81,0.31,0,403.39,1.45,3.49,-2.69,-3.21,-2.18,1.53,0.0791,0.1294,0.2583,0.3492
2018-01-02T16:00:00Z,Lane,92.5,-2.17,-2.61,31.07,0.36,0,286.57,1.03,3.02,-2.17,-2.77,-2.07,1.53,0.0815,0.1314,0.2593,0.3491
2018-01-02T17:00:00Z,Lane,92.48,-1,-1.21,30.76,0.39,0,142.86,0.51,2.19,-1.86,-2.42,-1.95,1.52,0.083,0.133,0.2602,0.3485
2018-01-02T18:00:00Z,Lane,92.46,-3.09,-1.77,34.78,0.32,0,20.73,0.07,1.46,-1.83,-2.2,-1.83,1.51,0.083,0.134,0.2614,0.3485
2018-01-02T19:00:00Z,Lane,92.42,-8.22,-4.08,44.93,0.18,0,0.02,0,2.05,-2.12,-2.15,-1.72,1.5,0.0812,0.1341,0.2622,0.3485
2018-01-02T20:00:00Z,Lane,92.4,-9.41,-8.34,48.34,0.16,0,0,0,2.75,-2.57,-2.27,-1.64,1.49,0.0791,0.1338,0.263,0.3486
2018-01-02T21:00:00Z,Lane,92.38,-8.93,-8.22,49.44,0.16,0,0,0,3.04,-3,-2.48,-1.58,1.48,0.0775,0.133,0.2638,0.3485
2018-01-02T22:00:00Z,Lane,92.38,-9.1,-8.43,50.6,0.15,0,0,0,3.1,-3.34,-2.7,-1.55,1.46,0.0764,0.1321,0.2638,0.3486
2018-01-02T23:00:00Z,Lane,92.41,-8.75,-7.79,49.27,0.16,0,0.01,0,2.41,-3.57,-2.89,-1.57,1.45,0.0756,0.1313,0.2638,0.3486
2018-01-03T00:00:00Z,Lane,92.44,-8.29,-7.22,48.97,0.17,0,0,0,2.69,-3.78,-3.05,-1.59,1.45,0.075,0.1307,0.2636,0.3486
2018-01-03T01:00:00Z,Lane,92.48,-8.16,-6.88,49.49,0.17,0,0,0,2.65,-3.93,-3.19,-1.63,1.44,0.0746,0.1301,0.2631,0.3486
2018-01-03T02:00:00Z,Lane,92.46,-7.26,-5.83,47.42,0.19,0,0.01,0,2.43,-4.04,-3.3,-1.67,1.42,0.0743,0.1297,0.2629,0.3486
2018-01-03T03:00:00Z,Lane,92.51,-8.76,-6.95,52,0.15,0,0,0,2.28,-4.14,-3.4,-1.71,1.42,0.0738,0.1292,0.2624,0.3486
2018-01-03T04:00:00Z,Lane,92.54,-6.61,-5.64,46.93,0.2,0,0.02,0,2.87,-4.25,-3.5,-1.76,1.41,0.0737,0.1287,0.2621,0.3486
2018-01-03T05:00:00Z,Lane,92.54,-7.35,-6.39,51.3,0.17,0,0.01,0,2.66,-4.32,-3.58,-1.8,1.4,0.0737,0.1286,0.2618,0.3486
2018-01-03T06:00:00Z,Lane,92.54,-6.82,-5.93,55.14,0.16,0,0.01,0,2.81,-4.37,-3.64,-1.85,1.39,0.0733,0.1283,0.2614,0.3486
2018-01-03T07:00:00Z,Lane,92.57,-7.17,-6.01,60.01,0.14,0,0,0,2.52,-4.4,-3.69,-1.89,1.38,0.073,0.1279,0.2612,0.3486
2018-01-03T08:00:00Z,Lane,92.6,-8.31,-6.92,63.36,0.12,0,1.63,0.01,2.75,-4.44,-3.73,-1.92,1.37,0.073,0.128,0.2607,0.3481
2018-01-03T09:00:00Z,Lane,92.65,-7.11,-6.36,59.06,0.15,0,69.28,0.25,3.01,-4.5,-3.78,-1.96,1.37,0.073,0.1279,0.2605,0.348
2018-01-03T10:00:00Z,Lane,92.67,-2.52,-2.77,44.64,0.28,0,210.92,0.76,3.84,-4.44,-3.81,-1.99,1.36,0.0732,0.1277,0.2602,0.348
2018-01-03T11:00:00Z,Lane,92.69,1.24,0.72,38.72,0.41,0,344.36,1.24,3.97,-3.97,-3.68,-2.02,1.35,0.0746,0.1282,0.2598,0.348
2018-01-03T12:00:00Z,Lane,92.65,2.92,2.25,39.05,0.46,0,436.35,1.57,4.06,-3.16,-3.32,-2.03,1.34,0.0775,0.1293,0.2598,0.348
2018-01-03T13:00:00Z,Lane,92.52,4.04,3.36,35.56,0.53,0,484.96,1.75,3.25,-2.27,-2.84,-1.99,1.33,0.0814,0.1313,0.2605,0.348
2018-01-03T14:00:00Z,Lane,92.4,5.4,4.78,31.64,0.61,0,468.96,1.69,2.62,-1.46,-2.33,-1.9,1.33,0.087,0.1336,0.2613,0.348
2018-01-03T15:00:00Z,Lane,92.33,6.48,5.97,29.05,0.69,0,399.75,1.44,2.47,-0.8,-1.89,-1.8,1.32,0.0941,0.1362,0.2621,0.348
2018-01-03T16:00:00Z,Lane,92.31,7.04,6.63,28.63,0.72,0,278.56,1,2.02,-0.31,-1.55,-1.67,1.3,0.0989,0.1388,0.2633,0.348
2018-01-03T17:00:00Z,Lane,92.29,7.28,7.03,27.89,0.74,0,139.59,0.5,0.9,-0.07,-1.29,-1.56,1.3,0.1017,0.1412,0.2646,0.3481
2018-01-03T18:00:00Z,Lane,92.27,4.56,5.68,32.98,0.57,0,15.43,0.06,1.11,-0.11,-1.11,-1.44,1.29,0.1019,0.1431,0.2657,0.3481
2018-01-03T19:00:00Z,Lane,92.25,-0.56,3.16,42.51,0.34,0,0,0,1.69,-0.39,-0.98,-1.35,1.28,0.0988,0.1445,0.2669,0.3481
2018-01-03T20:00:00Z,Lane,92.25,-3,0.55,48.43,0.25,0,0,0,1.51,-0.65,-0.92,-1.26,1.28,0.0936,0.1447,0.268,0.3481
2018-01-03T21:00:00Z,Lane,92.27,-3.8,-0.74,52.34,0.22,0,0.01,0,1.36,-0.88,-0.93,-1.19,1.27,0.09,0.1448,0.2692,0.3481
2018-01-03T22:00:00Z,Lane,92.23,-5.37,-2.16,57.55,0.17,0,0.02,0,1.58,-1.14,-1,-1.13,1.26,0.0872,0.1446,0.27,0.3481
2018-01-03T23:00:00Z,Lane,92.24,-5.72,-4.02,61.74,0.15,0,0,0,1.43,-1.41,-1.12,-1.08,1.25,0.0851,0.1436,0.2708,0.3481
2018-01-04T00:00:00Z,Lane,92.29,-5.82,-4.33,62.92,0.15,0,0,0,1.39,-1.63,-1.26,-1.05,1.24,0.0837,0.1428,0.2712,0.3481
2018-01-04T01:00:00Z,Lane,92.27,-7.42,-4.97,66.79,0.12,0,0.01,0,1.2,-1.8,-1.39,-1.02,1.24,0.0827,0.1418,0.2715,0.3481
2018-01-04T02:00:00Z,Lane,92.25,-7.69,-5.44,68.81,0.11,0,0.02,0,0.96,-2.05,-1.53,-1.02,1.23,0.0813,0.1407,0.2715,0.3481
2018-01-04T03:00:00Z,Lane,92.23,-5.76,-5.18,65.36,0.14,0,0,0,1.45,-2.22,-1.68,-1.02,1.22,0.0806,0.1397,0.2715,0.3481
2018-01-04T04:00:00Z,Lane,92.24,-5.84,-5.01,65.99,0.13,0,0,0,0.81,-2.29,-1.8,-1.03,1.22,0.0802,0.139,0.2715,0.3481
2018-01-04T05:00:00Z,Lane,92.17,-7.42,-5.45,70.94,0.1,0,0,0,1.48,-2.36,-1.88,-1.05,1.22,0.0798,0.1384,0.2713,0.3481
2018-01-04T06:00:00Z,Lane,92.16,-8.87,-7.12,75.53,0.08,0,0,0,1.39,-2.52,-1.97,-1.07,1.21,0.0793,0.1377,0.2709,0.3481
2018-01-04T07:00:00Z,Lane,92.19,-9.18,-7.32,76.4,0.07,0,0.01,0,1.59,-2.72,-2.1,-1.1,1.2,0.0783,0.137,0.2709,0.3482
2018-01-04T08:00:00Z,Lane,92.2,-10.8,-9.07,79.26,0.06,0,1.37,0,1.09,-2.95,-2.24,-1.12,1.2,0.0774,0.1362,0.2706,0.3482
2018-01-04T09:00:00Z,Lane,92.27,-10.5,-9.64,78.36,0.06,0,67.35,0.24,1.42,-3.18,-2.41,-1.16,1.2,0.0764,0.1351,0.2702,0.3482
2018-01-04T10:00:00Z,Lane,92.29,-4.83,-5.12,63.61,0.16,0,211.62,0.76,2.21,-3.31,-2.56,-1.2,1.19,0.076,0.1344,0.2697,0.3482
2018-01-04T11:00:00Z,Lane,92.28,-0.23,-0.79,48.53,0.31,0,345.56,1.24,4.09,-3.03,-2.6,-1.25,1.19,0.0772,0.1342,0.2693,0.3482
2018-01-04T12:00:00Z,Lane,92.23,2.66,1.98,39.01,0.45,0,440.9,1.59,3.91,-2.39,-2.4,-1.29,1.18,0.0799,0.135,0.2689,0.3481
2018-01-04T13:00:00Z,Lane,92.11,5.61,4.89,30.61,0.63,0,483.66,1.74,3.4,-1.66,-2.06,-1.31,1.18,0.0844,0.1367,0.2689,0.3476
2018-01-04T14:00:00Z,Lane,92.02,8.32,7.73,25.58,0.82,0,470.34,1.69,2.79,-0.93,-1.69,-1.29,1.18,0.0912,0.139,0.269,0.3475
2018-01-04T15:00:00Z,Lane,91.97,10.05,9.6,22.25,0.96,0,401.57,1.45,2.19,-0.25,-1.36,-1.25,1.17,0.0978,0.1415,0.2697,0.3475
2018-01-04T16:00:00Z,Lane,91.95,11.07,10.63,19.63,1.06,0,286.1,1.03,2.41,0.28,-1.08,-1.18,1.16,0.1032,0.144,0.2704,0.3475
2018-01-04T17:00:00Z,Lane,91.97,10.18,10.13,20.44,0.99,0,144.13,0.52,2,0.52,-0.86,-1.11,1.16,0.1055,0.1465,0.2712,0.3475
2018-01-04T18:00:00Z,Lane,91.99,8.32,9.25,23.6,0.84,0,23.04,0.08,0.85,0.47,-0.71,-1.04,1.16,0.1054,0.149,0.272,0.3475
2018-01-04T19:00:00Z,Lane,92.03,2.55,5.54,32.54,0.51,0,0,0,1.54,0.13,-0.6,-0.98,1.15,0.104,0.1508,0.273,0.3475
2018-01-04T20:00:00Z,Lane,92.09,-0.51,3.44,41.1,0.35,0,0,0,1.31,-0.24,-0.55,-0.92,1.15,0.1013,0.1518,0.2739,0.3475
2018-01-04T21:00:00Z,Lane,92.14,-2.17,1.3,49.76,0.26,0,0,0,1.24,-0.42,-0.52,-0.88,1.15,0.0963,0.1518,0.2749,0.3475
2018-01-04T22:00:00Z,Lane,92.14,-4.09,1.44,59.47,0.18,0,0,0,1.86,-0.63,-0.52,-0.84,1.14,0.092,0.1519,0.2757,0.3475
2018-01-04T23:00:00Z,Lane,92.14,-5.11,0.84,66.35,0.14,0,0.01,0,1.3,-0.86,-0.55,-0.81,1.14,0.0888,0.1512,0.2764,0.3475
2018-01-05T00:00:00Z,Lane,92.15,-7.19,-2.47,68.71,0.11,0,0,0,1.78,-1.11,-0.65,-0.78,1.13,0.0867,0.1502,0.277,0.3475
2018-01-05T01:00:00Z,Lane,92.18,-7.52,-4.55,71.34,0.1,0,0.02,0,1.77,-1.35,-0.79,-0.75,1.13,0.0849,0.1487,0.2774,0.3475
2018-01-05T02:00:00Z,Lane,92.18,-7.18,-5.09,74.23,0.09,0,0.01,0,1.81,-1.58,-0.95,-0.74,1.12,0.0835,0.1471,0.2778,0.3475
2018-01-05T03:00:00Z,Lane,92.17,-7.95,-6.33,74.92,0.08,0,0,0,1.81,-1.79,-1.12,-0.73,1.12,0.0823,0.1455,0.2778,0.3475
2018-01-05T04:00:00Z,Lane,92.15,-8.12,-4.7,76.29,0.08,0,0.01,0,1.7,-1.99,-1.29,-0.74,1.12,0.0814,0.144,0.2778,0.3475
2018-01-05T05:00:00Z,Lane,92.15,-7.79,-3.82,79.03,0.07,0,0,0,1.73,-2.2,-1.47,-0.76,1.12,0.0803,0.1426,0.2775,0.3475
2018-01-05T06:00:00Z,Lane,92.18,-8.85,-6.64,81.16,0.06,0,0.01,0,1.77,-2.38,-1.62,-0.78,1.12,0.0797,0.1413,0.2772,0.3475
2018-01-05T07:00:00Z,Lane,92.19,-9.11,-6.61,82.44,0.05,0,0.02,0,1.63,-2.55,-1.77,-0.81,1.11,0.0788,0.1402,0.2767,0.3475
2018-01-05T08:00:00Z,Lane,92.25,-9.79,-6.71,82.76,0.05,0,1.2,0,1.35,-2.72,-1.92,-0.85,1.11,0.0783,0.1391,0.2765,0.3476
2018-01-05T09:00:00Z,Lane,92.32,-9.51,-7,81.57,0.06,0,55.83,0.2,0.97,-2.89,-2.08,-0.88,1.11,0.0776,0.1382,0.2759,0.3476
2018-01-05T10:00:00Z,Lane,92.33,-2.74,-2.96,70.59,0.15,0,209.88,0.76,1.13,-2.99,-2.21,-0.93,1.11,0.0773,0.1373,0.2753,0.3476
2018-01-05T11:00:00Z,Lane,92.35,0.66,0.15,65.84,0.22,0,341.75,1.23,2.89,-2.64,-2.23,-0.97,1.1,0.0787,0.1371,0.2746,0.3476
2018-01-05T12:00:00Z,Lane,92.32,3.84,3.23,55.17,0.36,0,435.55,1.57,2.96,-1.95,-2.03,-1.02,1.1,0.0819,0.1382,0.274,0.3476
2018-01-05T13:00:00Z,Lane,92.22,6.34,5.67,46.6,0.51,0,471.99,1.7,2.99,-1.19,-1.7,-1.04,1.1,0.0875,0.1401,0.274,0.3476
2018-01-05T14:00:00Z,Lane,92.12,8.08,7.41,41.19,0.63,0,434.03,1.56,3.29,-0.47,-1.37,-1.04,1.1,0.0944,0.1425,0.274,0.3476
2018-01-05T15:00:00Z,Lane,92.06,8.21,7.71,40.25,0.65,0,292.29,1.05,3.79,0.09,-1.09,-1,1.1,0.1002,0.1451,0.2747,0.3476
2018-01-05T16:00:00Z,Lane,92.07,7.59,7.35,41.6,0.61,0,172.08,0.62,4.38,0.38,-0.87,-0.95,1.1,0.1035,0.1475,0.2752,0.3475
2018-01-05T17:00:00Z,Lane,92.12,5.54,5.56,45.48,0.49,0,70.14,0.25,4.24,0.46,-0.7,-0.91,1.1,0.1041,0.1498,0.2759,0.3476
2018-01-05T18:00:00Z,Lane,92.12,3.58,3.85,49.97,0.4,0,9.79,0.04,3.32,0.35,-0.58,-0.86,1.09,0.1037,0.152,0.2766,0.3476
2018-01-05T19:00:00Z,Lane,92.17,0.91,1.48,56.78,0.28,0,0,0,2.53,0.16,-0.49,-0.81,1.1,0.1028,0.1537,0.2774,0.3476
2018-01-05T20:00:00Z,Lane,92.21,-1.05,-0.77,61.56,0.22,0,0,0,3.29,-0.08,-0.44,-0.76,1.09,0.1018,0.1547,0.2782,0.3476
2018-01-05T21:00:00Z,Lane,92.26,-2.45,-2.23,65.31,0.18,0,0,0,3.6,-0.24,-0.41,-0.72,1.09,0.0996,0.1547,0.2789,0.3476
2018-01-05T22:00:00Z,Lane,92.3,-2.85,-2.73,64.38,0.18,0,0,0,3.76,-0.33,-0.4,-0.69,1.09,0.0963,0.1548,0.2796,0.3476
2018-01-05T23:00:00Z,Lane,92.37,-4.66,-4.5,65.18,0.15,0,0,0,2.75,-0.43,-0.39,-0.66,1.09,0.094,0.1548,0.2802,0.3476
2018-01-06T00:00:00Z,Lane,92.38,-5.66,-5.49,63.95,0.14,0,0,0,2.8,-0.56,-0.4,-0.64,1.08,0.0917,0.155,0.2808,0.3476
2018-01-06T01:00:00Z,Lane,92.4,-6.87,-6.7,66.57,0.12,0,0.01,0,1.89,-0.74,-0.43,-0.62,1.08,0.0896,0.1543,0.2814,0.3476
2018-01-06T02:00:00Z,Lane,92.38,-7.79,-7.05,68.93,0.11,0,0.01,0,1.17,-0.94,-0.49,-0.6,1.08,0.0875,0.1535,0.2818,0.3476
2018-01-06T03:00:00Z,Lane,92.35,-9.78,-8.16,73.94,0.08,0,0,0,1.4,-1.16,-0.58,-0.59,1.08,0.0856,0.1522,0.2822,0.3476
2018-01-06T04:00:00Z,Lane,92.38,-10.49,-9.19,75.47,0.07,0,0.01,0,0.78,-1.44,-0.72,-0.58,1.08,0.0838,0.1505,0.2821,0.3476
2018-01-06T05:00:00Z,Lane,92.33,-11.6,-10.02,77.45,0.06,0,0,0,1.02,-1.73,-0.9,-0.58,1.08,0.082,0.1486,0.2821,0.3476
2018-01-06T06:00:00Z,Lane,92.28,-12.24,-10.85,78.5,0.05,0,0.01,0,1.16,-2.01,-1.11,-0.58,1.08,0.0805,0.1464,0.2821,0.3476
2018-01-06T07:00:00Z,Lane,92.26,-12.44,-11.5,80.08,0.05,0,0,0,1.21,-2.28,-1.34,-0.6,1.08,0.0793,0.1443,0.2822,0.3476
2018-01-06T08:00:00Z,Lane,92.25,-12.65,-11.65,79.99,0.05,0,2.05,0.01,0.74,-2.55,-1.55,-0.62,1.07,0.0781,0.1423,0.2815,0.3476
2018-01-06T09:00:00Z,Lane,92.26,-11.25,-10.97,75.96,0.06,0,68.37,0.25,1.69,-2.78,-1.77,-0.66,1.07,0.0773,0.1407,0.2811,0.3476
2018-01-06T10:00:00Z,Lane,92.28,-7.76,-8.1,63.71,0.12,0,188.63,0.68,3.08,-2.88,-1.96,-0.7,1.07,0.0772,0.1393,0.2804,0.3476
2018-01-06T11:00:00Z,Lane,92.28,-4.96,-5.48,54.77,0.19,0,299.84,1.08,2.95,-2.66,-2.04,-0.75,1.07,0.078,0.1387,0.2795,0.3476
2018-01-06T12:00:00Z,Lane,92.23,-1.78,-2.42,48.37,0.28,0,355.79,1.28,3.95,-2.17,-1.93,-0.8,1.08,0.0803,0.1394,0.2788,0.3476
2018-01-06T13:00:00Z,Lane,92.06,0.39,-0.34,43.89,0.35,0,406.1,1.46,4.56,-1.59,-1.7,-0.84,1.07,0.0834,0.1406,0.2784,0.3476
2018-01-06T14:00:00Z,Lane,91.88,3.52,2.88,37.92,0.49,0,363.04,1.31,5.26,-1.03,-1.44,-0.86,1.07,0.0875,0.1425,0.2784,0.3476
2018-01-06T15:00:00Z,Lane,91.73,5.66,5.13,33.72,0.61,0,319.55,1.15,5.1,-0.58,-1.19,-0.85,1.07,0.0917,0.1446,0.2784,0.3476
2018-01-06T16:00:00Z,Lane,91.65,6.33,6.12,33.5,0.64,0,164.62,0.59,4.64,-0.24,-0.99,-0.83,1.07,0.0948,0.1466,0.2785,0.3476
2018-01-06T17:00:00Z,Lane,91.58,6.44,6.49,34.77,0.63,0,92.51,0.33,3.68,-0.09,-0.82,-0.81,1.06,0.0968,0.1485,0.2791,0.3476
2018-01-06T18:00:00Z,Lane,91.5,5.09,5.53,38.79,0.54,0,14.25,0.05,3.31,-0.06,-0.7,-0.77,1.07,0.0978,0.15,0.2796,0.3476
