TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP10MAVG,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC20CM,VWC50CM,PRECIP2
2019-01-01T00:00:00Z,Lane,92.39,-11.68,-11.64,77.88,0.06,0,0,0,7.83,0.17,0.56,1.15,3.07,0.1457,0.303,0.4039,0.4228,NA
2019-01-01T01:00:00Z,Lane,92.44,-12.18,-12.12,77.87,0.05,0,0,0,7.48,0.15,0.54,1.14,3.05,0.141,0.3023,0.4039,0.4229,NA
2019-01-01T02:00:00Z,Lane,92.46,-12.57,-12.53,73.39,0.06,0,0.01,0,7.22,0.13,0.53,1.13,3.06,0.1365,0.3016,0.4039,0.4229,NA
2019-01-01T03:00:00Z,Lane,92.49,-12.65,-12.59,64.24,0.08,0,0,0,7.29,0.1,0.51,1.12,3.05,0.132,0.301,0.4037,0.4224,NA
2019-01-01T04:00:00Z,Lane,92.57,-12.41,-12.32,57,0.1,0,0,0,6.09,0.08,0.51,1.11,3.04,0.1276,0.3001,0.4034,0.4223,NA
2019-01-01T05:00:00Z,Lane,92.45,-12.39,-12.31,57.77,0.1,0,0,0,7.34,0.03,0.49,1.1,3.02,0.1234,0.2991,0.4033,0.4223,NA
2019-01-01T06:00:00Z,Lane,92.48,-12.38,-12.3,58.49,0.1,0,0,0,7.12,-0.01,0.48,1.09,3.02,0.1193,0.298,0.4034,0.4223,NA
2019-01-01T07:00:00Z,Lane,92.55,-12.47,-12.38,59.93,0.09,0,0.01,0,6.63,-0.07,0.46,1.08,3.02,0.1153,0.2968,0.4035,0.4219,NA
2019-01-01T08:00:00Z,Lane,92.62,-12.45,-12.39,60.03,0.09,0,0.85,0,5.16,-0.12,0.45,1.07,3.01,0.1117,0.2954,0.4029,0.4218,NA
2019-01-01T09:00:00Z,Lane,92.71,-12.58,-12.54,64.5,0.08,0,22.97,0.08,5.14,-0.19,0.43,1.05,3.01,0.1088,0.2938,0.4028,0.4218,NA
2019-01-01T10:00:00Z,Lane,92.74,-12.78,-12.88,65.75,0.08,0,97.32,0.35,4.92,-0.23,0.42,1.04,3,0.1067,0.2919,0.4028,0.4218,NA
2019-01-01T11:00:00Z,Lane,92.71,-12.51,-12.57,60.5,0.09,0,205.26,0.74,5.65,-0.28,0.39,1.03,2.99,0.1054,0.2897,0.4025,0.4218,NA
2019-01-01T12:00:00Z,Lane,92.65,-12.09,-12.29,56.79,0.11,0,215.79,0.78,4.79,-0.31,0.39,1.01,2.99,0.1045,0.2871,0.4023,0.4217,NA
2019-01-01T13:00:00Z,Lane,92.58,-11.87,-12.07,54.18,0.11,0,202.41,0.73,3.77,-0.32,0.37,1,2.98,0.1045,0.2843,0.4023,0.4213,NA
2019-01-01T14:00:00Z,Lane,92.46,-11.49,-11.63,52.92,0.12,0,283.29,1.02,2.93,-0.33,0.36,0.99,2.97,0.1041,0.2811,0.4022,0.4213,NA
2019-01-01T15:00:00Z,Lane,92.37,-11.18,-11.51,50.55,0.13,0,230.46,0.83,2.97,-0.31,0.35,0.98,2.97,0.1045,0.2779,0.4017,0.4213,NA
2019-01-01T16:00:00Z,Lane,92.33,-11.07,-11.32,51.79,0.13,0,150.06,0.54,2.51,-0.29,0.34,0.97,2.95,0.1046,0.2748,0.4017,0.4213,NA
2019-01-01T17:00:00Z,Lane,92.32,-11.11,-11.26,52.02,0.13,0,69.34,0.25,2.3,-0.27,0.32,0.96,2.95,0.1051,0.2719,0.4017,0.4209,NA
2019-01-01T18:00:00Z,Lane,92.3,-11.32,-11.33,54.51,0.12,0,9.55,0.03,1.05,-0.29,0.33,0.95,2.94,0.1045,0.2692,0.4014,0.4207,NA
2019-01-01T19:00:00Z,Lane,92.28,-11.35,-11.38,55.28,0.12,0,0,0,0.89,-0.32,0.31,0.94,2.93,0.1043,0.2665,0.4012,0.4207,NA
2019-01-01T20:00:00Z,Lane,92.31,-11.27,-11.28,56.7,0.11,0,0.01,0,1.18,-0.35,0.3,0.93,2.93,0.1039,0.2637,0.4012,0.4207,NA
2019-01-01T21:00:00Z,Lane,92.3,-11.21,-11.23,59.9,0.1,0,0.01,0,2.37,-0.38,0.3,0.92,2.92,0.1032,0.2607,0.4011,0.4207,NA
2019-01-01T22:00:00Z,Lane,92.26,-11.1,-11.11,63.25,0.1,0,0,0,2.41,-0.42,0.28,0.91,2.92,0.1029,0.2573,0.4006,0.4202,NA
2019-01-01T23:00:00Z,Lane,92.22,-11.88,-11.33,71.5,0.07,0,0,0,1.62,-0.45,0.28,0.9,2.91,0.1022,0.2533,0.4006,0.4202,NA
2019-01-02T00:00:00Z,Lane,92.18,-11.75,-11.48,73.94,0.07,0,0,0,2.26,-0.5,0.27,0.89,2.9,0.1015,0.2491,0.4006,0.4202,NA
2019-01-02T01:00:00Z,Lane,81.7,-13.49,-12.98,77.94,0.05,0,0,0,2.16,-0.15,0.06,0.23,0.73,0.025,0.0602,0.1,0.105,NA
2019-01-02T02:00:00Z,Lane,92.11,-13.82,-13.32,79.82,0.04,0,0,0,3.15,-0.61,0.24,0.88,2.89,0.0997,0.2377,0.4003,0.4202,NA
2019-01-02T03:00:00Z,Lane,92.06,-13.76,-13.37,80.84,0.04,0,0,0,3.83,-0.68,0.22,0.87,2.87,0.0986,0.2299,0.4006,0.4198,NA
2019-01-02T04:00:00Z,Lane,91.99,-14.08,-13.74,80.38,0.04,0,0,0,3.5,-0.77,0.21,0.86,2.87,0.0976,0.2221,0.4006,0.4197,NA
