TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP10MAVG,RELHUM2MAVG,VPDEFAVG,PRECIP,PRECIP2,SRAVG,SR,WSPD2MAVG,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC20CM,VWC50CM
2021-01-01T00:00:00Z,Lane,91.58,-8.01,-3.54,86.04,0.05,0,0,0.02,0,1.18,0.34,0.86,1.82,3.82,0.07586,0.1123,0.25659,0.28541
2021-01-01T01:00:00Z,Lane,91.56,-6.76,-6.26,85.05,0.06,0,0,0,0,1.83,0.15,0.73,1.8,3.81,0.07542,0.11213,0.2565,0.28543
2021-01-01T02:00:00Z,Lane,91.54,-5.88,-5.71,82.09,0.07,0,0,0.01,0,2.76,0,0.61,1.76,3.8,0.07527,0.11193,0.25628,0.2854
2021-01-01T03:00:00Z,Lane,91.54,-5.09,-5.11,77.81,0.09,0,0,0.01,0,3.09,-0.11,0.51,1.72,3.79,0.0753,0.11151,0.25632,0.28503
2021-01-01T04:00:00Z,Lane,91.52,-5.2,-5.21,77.1,0.1,0,0,0.01,0,2.93,-0.2,0.43,1.68,3.77,0.07531,0.11152,0.2563,0.28496
2021-01-01T05:00:00Z,Lane,91.5,-5.01,-4.93,75.08,0.11,0,0,0.01,0,2.63,-0.26,0.37,1.63,3.77,0.07532,0.11155,0.25614,0.28475
2021-01-01T06:00:00Z,Lane,91.45,-4.86,-4.91,73.46,0.11,0,0,0,0,3.35,-0.33,0.31,1.58,3.76,0.07528,0.11158,0.25593,0.28471
2021-01-01T07:00:00Z,Lane,91.48,-4.61,-4.7,74.19,0.11,0,0,0,0,2.96,-0.38,0.25,1.53,3.75,0.07501,0.11159,0.25566,0.28474
2021-01-01T08:00:00Z,Lane,91.54,-4.41,-4.54,81.11,0.08,0,0,0.86,0,2.94,-0.42,0.21,1.49,3.74,0.07466,0.11145,0.25569,0.28473
2021-01-01T09:00:00Z,Lane,91.61,-4.93,-4.97,81.93,0.08,0,0,32.98,0.12,2.25,-0.44,0.17,1.45,3.73,0.07465,0.11113,0.25556,0.28475
2021-01-01T10:00:00Z,Lane,91.71,-2.96,-3.42,73.07,0.13,0,0,197.02,0.71,3.6,-0.48,0.14,1.42,3.72,0.07467,0.11098,0.25556,0.28476
2021-01-01T11:00:00Z,Lane,91.8,0.39,-0.34,62.1,0.24,0,0,372.63,1.34,4.51,-0.45,0.12,1.38,3.71,0.07488,0.11091,0.2553,0.28477
2021-01-01T12:00:00Z,Lane,91.78,2.47,1.56,54.8,0.33,0,0,457.47,1.65,4.51,-0.33,0.16,1.35,3.7,0.07528,0.11109,0.25502,0.28477
2021-01-01T13:00:00Z,Lane,91.7,4.18,3.27,46.55,0.44,0,0,461.52,1.66,4.65,-0.12,0.25,1.32,3.69,0.07565,0.11154,0.25503,0.28478
2021-01-01T14:00:00Z,Lane,91.63,5,4.17,42.05,0.51,0,0,396.26,1.43,5.44,0.2,0.42,1.32,3.67,0.07619,0.11166,0.25502,0.28481
2021-01-01T15:00:00Z,Lane,91.64,4.74,4.07,41.28,0.5,0,0,308.09,1.11,6,0.64,0.65,1.33,3.66,0.07681,0.11209,0.25502,0.28482
